Species	2WT-2m_S1	3WT-2m_S1	5WT-2m_S2	8WT-2m_S3	9WT-2m_S4	10WT-2m_S5	2AD-2m_S6	4AD-2m_S2	5AD-2m_S7	8AD-2m_S8	9AD-2m_S9	10AD-2m_S10
s__Neglecta_sp_X4	4152	10494	19856	16482	24788	48052	1296	2870	64	628	0	498
s__GGB30461_SGB43527	408	1356	36504	5142	5976	0	0	0	0	0	0	0
s__GGB30457_SGB43521	25516	41746	30590	28936	216014	56272	30586	4442	2258	9704	15552	7786
s__GGB30454_SGB43516	76948	122986	482812	167072	138928	65464	32966	38650	1936	10920	31112	24598
s__GGB30454_SGB43514	8310	160812	103384	47520	31246	210264	555324	192004	145456	538932	1500596	413942
s__GGB30290_SGB43252	0	2176	0	0	0	0	3172	127822	50744	114694	88308	32710
s__GGB28927_SGB41625	22810	109926	1774228	140050	303862	93802	16628	7054	6514	33368	18014	46616
s__GGB28879_SGB41559	2568	5052	243096	65576	66534	33408	558	0	0	0	0	2024
s__GGB28873_SGB41553	0	1055224	2186316	1168342	542486	416260	8804	4334	16720	0	0	10510
s__GGB28870_SGB41549	9178	59748	1291200	53346	47588	46068	286	3738	0	0	2770	372
s__GGB28870_SGB41545	6488	48282	330954	40404	75072	46820	32446	7558	1918	12574	1832	17054
s__GGB28860_SGB41529	14758	25630	0	0	372	98658	0	0	0	0	0	0
s__GGB28856_SGB41525	0	11648	20084	7808	5576	0	0	0	0	0	0	0
s__GGB28851_SGB41518	3418	710	11910	3756	12656	6914	0	0	0	0	0	0
s__GGB28845_SGB41512	0	0	0	0	0	0	136	5034	180	7878	59278	7758
s__GGB28765_SGB41415	0	29464	7192	1548	754	10890	44000	158228	37880	196374	210930	80066
s__Clostridiales_bacterium	0	14464	11230	7556	1938	3468	269228	218974	164704	62854	306072	154574
s__GGB28988_SGB41701	420	1654	1084	0	0	14096	63608	376342	8024	2142	170464	42932
s__Clostridiaceae_bacterium	162302	611574	1639584	657136	360166	326898	160982	21870	5340	6228	57388	112140
s__Candidatus_Arthromitus_sp_SFB_mouse	2582	67034	34634	54200	3184	73268	1968	1534	1748	0	2238	0
s__GGB31841_SGB45219	0	0	0	0	0	0	256042	48772	2808	46704	207304	2386
s__GGB31835_SGB45211	0	3896	0	0	0	0	806212	793888	800920	547362	1015698	676484
s__GGB29683_SGB42492	117228	295566	130050	377542	61776	74306	0	0	0	0	0	0
s__GGB28404_SGB40986	492756	454712	250424	52662	91500	454460	28286	18352	35542	10492	47032	149026
s__GGB29003_SGB41719	208878	115776	59830	121036	149734	50904	0	5444	3692	0	6674	0
s__GGB28383_SGB40963	0	21886	148714	74800	0	0	0	0	0	0	0	0
s__GGB25052_SGB36974	109262	348096	2876956	531028	47408	72158	107558	88734	14912	33040	55248	139740
s__GGB31853_SGB45233	7010	25660	248938	7254	68840	25082	1186	0	918	0	5438	996
s__GGB27849_SGB40283	226312	270208	57622	117618	61656	80004	557090	1449720	542036	241886	424942	157156
s__Muribaculum_gordoncarteri	818406	3066356	231676	2293866	128312	229016	6762798	16087176	5524794	3363128	2926080	1926906
s__GGB28904_SGB41597	65442	221818	1436216	145138	359302	170216	137812	25800	21326	37258	47584	64198
s__GGB28888_SGB41569	35404	101174	493372	135324	208460	112084	75526	10072	9834	1834	57252	55706
s__Atopobiaceae_bacterium_FL090493	11414	411586	3656	1308	6688	852	76940	2163358	602000	463566	356554	60458
s__GGB31179_SGB44472	14178	15376	10924	14680	6080	4752	200306	272754	193062	105914	169112	201046
s__GGB30303_SGB43268	13164	21826	60766	74406	41300	18518	3674	2644	824	8794	1330	5860
