Species	2AD-2m_S6	4AD-2m_S2	5AD-2m_S7	8AD-2m_S8	9AD-2m_S9	10AD-2m_S10	2AD-6m_S5	4AD-6m_S7	5AD-6m_S6	8AD-6m_S8	9AD-6m_S9	10AD-6m_S10
s__GGB30461_SGB43527	0	0	0	0	0	0	2294	0	0	1522	0	442
s__Anaerotruncus_colihominis	0	0	0	0	870	0	0	0	0	0	0	0
s__GGB28792_SGB41445	0	0	0	0	870	3912	0	0	0	0	0	0
s__GGB28781_SGB41434	0	0	0	0	0	0	28256	0	0	0	0	0
s__GGB25041_SGB36960	0	0	0	0	0	0	0	420608	739348	0	0	0
s__Eubacterium_sp_14_2	0	0	0	0	0	0	0	0	0	1720	0	0
s__GGB29683_SGB42492	0	0	0	0	0	0	0	0	0	0	18290	0
s__GGB28779_SGB41432	472670	106942	92882	25690	46812	57786	455128	236144	837904	254222	254222	525030
s__GGB28456_SGB41039	0	23292	0	0	0	0	0	0	0	0	0	0
s__GGB28383_SGB40963	0	0	0	0	0	0	0	4642	680	0	0	0
s__Mammaliicoccus_lentus	0	1290	0	0	0	0	0	0	0	0	0	0
