"",log2FC,lfcSE,Pvalues,FDR
GGB25041_SGB36960,30,3.0032,1.6955e-23,4.7984e-21
GGB28781_SGB41434,28.831,3.0032,7.9919e-22,1.1309e-19
GGB28456_SGB41039,-28.462,3.0032,2.6094e-21,2.4615e-19
GGB29683_SGB42492,28.039,3.0032,9.9621e-21,7.0482e-19
GGB28383_SGB40963,26.994,3.0032,2.5075e-19,1.4192e-17
GGB28792_SGB41445,-25.943,3.0033,5.7106e-18,2.6935e-16
Eubacterium_sp_14_2,25.57,3.0033,1.6816e-17,6.7986e-16
GGB30461_SGB43527,25.32,3.0033,3.4355e-17,1.2153e-15
Mammaliicoccus_lentus,-24.504,3.0035,3.3972e-16,1.0682e-14
Anaerotruncus_colihominis,-22.647,3.0039,4.7213e-14,1.3361e-12
GGB28956_SGB41665,1.8663,0.26726,2.8898e-12,7.4347e-11
Prevotella_sp_MGM1,1.7779,0.46322,0.00012396,0.0029234
GGB27792_SGB40208,1.5759,0.48196,0.0010764,0.023432
GGB27892_SGB40326,-1.5701,0.49024,0.0013611,0.027514
GGB28409_SGB40991,-1.6952,0.53446,0.0015147,0.028578
GGB28779_SGB41432,2.1671,0.69845,0.0019174,0.033915
Limosilactobacillus_reuteri,1.5515,0.53368,0.0036467,0.060707
GGB42598_SGB59794,8.1476,2.8858,0.0047521,0.074713
GGB30466_SGB43540,-4.2376,1.5294,0.0055932,0.083309
GGB27890_SGB40324,-1.5386,0.56892,0.0068435,0.0933
GGB28990_SGB41704,-7.7923,2.8855,0.0069233,0.0933
GGB14014_SGB21441,-3.1963,1.234,0.0095949,0.12343
Lachnospiraceae_bacterium,0.99755,0.39026,0.010585,0.13024
GGB28765_SGB41415,-1.5563,0.61336,0.011173,0.13174
Muribaculaceae_bacterium_Isolate_013_NCI,-2.5196,1.0065,0.012303,0.13927
GGB27778_SGB40192,1.1633,0.46835,0.012995,0.14145
Lactobacillus_taiwanensis,1.3852,0.57715,0.016395,0.17185
GGB28310_SGB40880,-2.1696,0.9219,0.018603,0.18803
GGB28929_SGB41629,-6.7491,2.8856,0.019341,0.18874
Streptococcus_danieliae,1.9401,0.84082,0.021032,0.1984
GGB29006_SGB41724,6.5627,2.8854,0.022939,0.20941
GGB28818_SGB41473,-1.3241,0.59468,0.02598,0.22976
Lachnospiraceae_bacterium_MD308,-2.6898,1.2231,0.027866,0.23897
GGB28248_SGB40791,0.78423,0.35927,0.029045,0.24176
GGB31853_SGB45233,4.1888,1.9346,0.030374,0.24559
GGB27893_SGB40327,1.1701,0.55327,0.034432,0.27068
GGB24102_SGB35895,1.0344,0.50093,0.038925,0.29254
GGB27782_SGB40196,1.5176,0.73627,0.039281,0.29254
GGB30147_SGB43074,1.2512,0.61194,0.040898,0.29677
GGB28621_SGB41239,1.5661,0.77035,0.042061,0.29758
GGB28787_SGB41440,4.6579,2.3567,0.048106,0.33205
GGB28766_SGB41417,1.1784,0.61512,0.055406,0.37333
GGB27885_SGB40319,1.1044,0.58431,0.058753,0.38668
GGB28879_SGB41559,5.3675,2.8856,0.062872,0.39317
GGB28980_SGB41692,-1.185,0.64144,0.064693,0.39317
GGB3171_SGB4185,-5.3083,2.8856,0.065828,0.39317
GGB28873_SGB41553,3.1103,1.6957,0.06662,0.39317
bacterium_D16_50,3.411,1.8601,0.066685,0.39317
Atopobiaceae_bacterium_FL090493,-1.9235,1.0623,0.070197,0.40542
GGB28849_SGB41516,1.085,0.60814,0.074392,0.41993
GGB28945_SGB41650,1.2477,0.70457,0.076579,0.41993
GGB28898_SGB41580,-1.9938,1.1281,0.07716,0.41993
GGB30454_SGB43514,-0.94868,0.55334,0.086442,0.46157
bacterium_D16_63,-1.7153,1.0067,0.08841,0.46334
Adlercreutzia_caecimuris,0.88065,0.5212,0.091094,0.46872
GGB28846_SGB41513,1.1278,0.67542,0.094967,0.47992
GGB28790_SGB41443,-2.3335,1.4465,0.1067,0.52756
GGB42343_SGB59511,-1.823,1.1347,0.10812,0.52756
Adlercreutzia_caecicola,0.69784,0.44952,0.12057,0.5722
Jeotgalicoccus_halotolerans,-4.6687,3.0134,0.12132,0.5722
Clostridiaceae_bacterium,1.2266,0.80685,0.12844,0.59588
GGB24132_SGB35935,-0.70071,0.46519,0.132,0.6025
Staphylococcus_nepalensis,4.301,2.8858,0.13612,0.61148
GGB29546_SGB42338,-4.2476,2.8855,0.14101,0.62153
GGB28772_SGB41425,1.7049,1.1642,0.14309,0.62153
GGB28839_SGB41503,2.512,1.7234,0.14495,0.62153
GGB28418_SGB41001,4.1521,2.8921,0.1511,0.63824
GGB28926_SGB41623,-1.0965,0.77695,0.15814,0.65816
Emergencia_sp_1XD21_10,0.45047,0.3225,0.16248,0.66641
GGB29005_SGB41723,-1.3673,0.98906,0.16683,0.66669
bacterium_1XD42_54,2.0842,1.5212,0.17065,0.66669
GGB28852_SGB41519,-1.4996,1.0969,0.17158,0.66669
GGB27929_SGB40368,0.79914,0.58772,0.17391,0.66669
Colidextribacter_sp_OB_20,-4.0968,3.0184,0.17469,0.66669
Eggerthellaceae_bacterium,-0.7091,0.52486,0.17668,0.66669
GGB28881_SGB41561,0.7712,0.57851,0.18251,0.67606
Roseburia_sp_1XD42_69,2.374,1.7915,0.18512,0.67606
GGB14001_SGB21428,-0.82363,0.62398,0.18684,0.67606
GGB27876_SGB40310,0.69462,0.52947,0.18955,0.67606
Pseudoflavonifractor_sp_60,0.83467,0.63847,0.19111,0.67606
Neglecta_sp_X4,2.4307,1.8842,0.19703,0.68839
GGB28948_SGB41654,0.7121,0.55578,0.2001,0.6906
GGB30295_SGB43259,-1.9659,1.5427,0.20256,0.69065
GGB28845_SGB41512,1.5836,1.2497,0.20508,0.69092
GGB29549_SGB42343,-3.546,2.8854,0.2191,0.72947
GGB28861_SGB41531,-0.9115,0.7597,0.23021,0.75186
GGB30311_SGB43288,1.7878,1.5071,0.23551,0.75186
GGB30461_SGB43531,-2.3621,1.997,0.23688,0.75186
Lachnospiraceae_bacterium_A2,-1.91,1.6165,0.23739,0.75186
Ligilactobacillus_murinus,0.98667,0.83958,0.23992,0.75186
GGB28904_SGB41597,0.558,0.47669,0.24177,0.75186
GGB30408_SGB43438,0.67856,0.58878,0.24913,0.75914
GGB28959_SGB41668,2.3157,2.0209,0.25185,0.75914
Lachnospiraceae_bacterium_28_4,2.4749,2.1612,0.25215,0.75914
GGB47127_SGB65054,-0.47075,0.41602,0.25782,0.76408
