"",log2FC,lfcSE,Pvalues,FDR
g__GGB29683,-19.365,1.0568,5.3168e-75,1.2654e-72
g__GGB31841,19.072,1.5146,2.3217e-36,2.7628e-34
g__GGB28851,-14.959,1.3895,4.9834e-27,3.9535e-25
g__GGB28856,-29.259,2.8002,1.4863e-25,8.8435e-24
g__GGB28860,-30,2.9908,1.1163e-23,5.045e-22
g__GGB28682,30,3.0032,1.6956e-23,5.045e-22
g__GGB28805,30,3.0032,1.6957e-23,5.045e-22
g__GGB28383,-30,3.0032,1.6958e-23,5.045e-22
g__GGB28845,16.321,1.7423,7.4407e-21,1.9676e-19
g__GGB28859,-27.827,3.0032,1.94e-20,4.6171e-19
g__GGB31179,4.4537,0.4992,4.6002e-19,9.9532e-18
g__GGB28875,-26.047,3.0033,4.2141e-18,8.358e-17
g__GGB28382,-25.9,3.0032,6.4587e-18,1.1824e-16
g__Facklamia,-24.954,3.0034,9.7003e-17,1.649e-15
g__GGB42598,24.784,3.0035,1.5609e-16,2.4766e-15
g__Corynebacterium,-23.013,3.0037,1.8377e-14,2.7335e-13
g__Clostridiales_unclassified,5.7771,1.0136,1.2001e-08,1.6801e-07
g__GGB31835,11.685,2.2717,2.6913e-07,3.5585e-06
g__Clostridiaceae_unclassified,-3.092,0.65707,2.5297e-06,3.0196e-05
g__GGB28870,-3.5258,0.74935,2.5375e-06,3.0196e-05
g__GGB28248,-1.5165,0.33505,6.0014e-06,6.8016e-05
g__GGB27792,-1.5846,0.38058,3.1323e-05,0.00033885
g__GGB28765,4.9021,1.1829,3.4097e-05,0.00035283
g__GGB28927,-3.4123,0.83611,4.4819e-05,0.00044445
g__GGB30290,9.1679,2.2892,6.2076e-05,0.00059096
g__GGB30303,-2.7615,0.70613,9.2032e-05,0.00084245
g__Neglecta,-4.4173,1.1639,0.00014746,0.0012999
g__Muribaculum,2.7046,0.74998,0.00031064,0.0026405
g__Atopobiaceae_unclassified,4.4503,1.2564,0.00039698,0.0032579
g__GGB28879,-7.1538,2.0388,0.00044998,0.0035699
g__GGB28404,-2.5784,0.76992,0.00081128,0.0062285
g__GGB31853,-4.9977,1.5141,0.00096411,0.0071705
g__GGB27849,2.3036,0.71112,0.0011977,0.0085607
g__GGB25052,-2.4126,0.74614,0.001223,0.0085607
g__Eggerthellaceae_unclassified,1.9338,0.60094,0.0012914,0.0087813
g__GGB30454,1.5817,0.49425,0.0013731,0.0090778
g__GGB28988,5.3014,1.6957,0.00177,0.011386
g__GGB28888,-2.1696,0.71865,0.0025356,0.015881
g__GGB28873,-5.978,1.9923,0.0026951,0.016447
g__GGB29003,-5.3935,1.8565,0.0036695,0.02143
g__GGB14001,1.9159,0.65989,0.0036918,0.02143
g__Candidatus_Arthromitus,-4.2397,1.4718,0.0039692,0.022492
