"",log2FC,lfcSE,Pvalues,FDR
GGB29683_SGB42492,-19.409,1.0544,1.124e-75,2.9673e-73
GGB31841_SGB45219,19.002,1.5088,2.257e-36,2.9792e-34
GGB28851_SGB41518,-15.027,1.4811,3.4648e-24,3.049e-22
GGB28383_SGB40963,-30,3.0032,1.6958e-23,8.9538e-22
GGB28860_SGB41529,-30,3.0032,1.6958e-23,8.9538e-22
GGB28856_SGB41525,-28.163,2.9919,4.8173e-21,2.1196e-19
GGB31179_SGB44472,4.45,0.49133,1.3402e-19,4.6644e-18
GGB28845_SGB41512,16.226,1.7927,1.4135e-19,4.6644e-18
GGB30461_SGB43527,-14.671,2.3516,4.4092e-10,1.2934e-08
Clostridiales_bacterium,5.7127,1.0152,1.8307e-08,4.8331e-07
GGB31835_SGB45211,11.667,2.225,1.5744e-07,3.7785e-06
GGB30454_SGB43516,-2.6546,0.53909,8.4675e-07,1.8629e-05
Clostridiaceae_bacterium,-3.1696,0.6525,1.1883e-06,2.4133e-05
GGB28248_SGB40791,-1.5731,0.3448,5.061e-06,9.5436e-05
GGB28870_SGB41549,-7.0248,1.5502,5.8574e-06,0.00010309
GGB30454_SGB43514,2.9685,0.68792,1.5954e-05,0.00026324
GGB28927_SGB41625,-3.4842,0.83386,2.9361e-05,0.00045596
GGB27792_SGB40208,-1.6372,0.39477,3.3658e-05,0.00049365
GGB28765_SGB41415,4.8198,1.1826,4.5931e-05,0.0006382
GGB30290_SGB43252,9.1497,2.2648,5.3474e-05,0.00070586
GGB30303_SGB43268,-2.8286,0.72132,8.8026e-05,0.0011066
Muribaculum_gordoncarteri,3.091,0.79429,9.9629e-05,0.0011955
GGB28904_SGB41597,-2.3755,0.61889,0.00012387,0.0014218
Neglecta_sp_X4,-4.496,1.1941,0.00016651,0.0018316
Atopobiaceae_bacterium_FL090493,4.4567,1.2469,0.00035109,0.0035656
GGB28879_SGB41559,-7.2645,2.0324,0.00035116,0.0035656
GGB28404_SGB40986,-2.6045,0.75572,0.00056802,0.0055539
GGB30457_SGB43521,-2.8067,0.82597,0.00067875,0.0063997
GGB31853_SGB45233,-5.0848,1.5164,0.00079896,0.0072733
GGB25052_SGB36974,-2.4664,0.74064,0.00086794,0.0076379
GGB27849_SGB40283,2.3232,0.7015,0.00092726,0.0078966
GGB28888_SGB41569,-2.2556,0.71912,0.0017093,0.014102
GGB28988_SGB41701,5.1787,1.696,0.0022623,0.017602
GGB28873_SGB41553,-6.0167,1.9709,0.0022669,0.017602
Eggerthellaceae_bacterium,1.8846,0.6242,0.0025346,0.019118
GGB28870_SGB41545,-2.3912,0.79487,0.0026271,0.019265
Adlercreutzia_caecicola,1.8076,0.60996,0.0030421,0.021706
GGB29003_SGB41719,-5.3893,1.8382,0.0033689,0.023405
Candidatus_Arthromitus_sp_SFB_mouse,-4.3148,1.4929,0.0038498,0.025729
GGB14001_SGB21428,1.906,0.66035,0.0038983,0.025729
Prevotella_sp_MGM1,1.4163,0.51161,0.0056337,0.036276
GGB28903_SGB41594,1.7381,0.65389,0.0078565,0.049384
GGB28428_SGB41011,-1.9066,0.72222,0.0082935,0.050918
Duncaniella_muris,2.0092,0.76845,0.008932,0.053592
GGB28893_SGB41574,-2.1365,0.82184,0.0093313,0.053774
Turicibacter_sp_TS3,2.2159,0.85283,0.0093697,0.053774
GGB31439_SGB44769,1.6062,0.62161,0.0097685,0.05487
GGB30461_SGB43533,-2.4146,0.941,0.010288,0.056185
GGB27892_SGB40326,1.6922,0.66068,0.010428,0.056185
GGB28763_SGB41411,-6.2091,2.4315,0.010661,0.05629
GGB30147_SGB43074,5.8059,2.3936,0.015282,0.078316
GGB24132_SGB35935,1.4315,0.59098,0.015426,0.078316
Ligilactobacillus_murinus,-2.7003,1.1274,0.016614,0.082132
GGB28790_SGB41443,-3.5174,1.4711,0.0168,0.082132
Akkermansia_muciniphila,6.879,2.8854,0.017123,0.082188
GGB28898_SGB41580,-1.5396,0.64953,0.017776,0.083673
GGB24102_SGB35895,-1.3679,0.58058,0.018471,0.083673
Muribaculaceae_bacterium_Isolate_013_NCI,2.4029,1.0212,0.018623,0.083673
GGB28836_SGB41496,-5.599,2.3811,0.0187,0.083673
Odoribacter_sp_Z80,0.87204,0.38191,0.022408,0.098596
GGB30460_SGB43526,3.3721,1.4891,0.023539,0.10187
