#NAME	2WT-2m_S1	3WT-2m_S1	5WT-2m_S2	8WT-2m_S3	9WT-2m_S4	10WT-2m_S5	2AD-2m_S6	4AD-2m_S2	5AD-2m_S7	8AD-2m_S8	9AD-2m_S9	10AD-2m_S10	2WT-6m_S11	3WT-6m_S1	5WT-6m_S12	8WT-6m_S2	9WT-6m_S3	10WT-6m_S4	2AD-6m_S5	4AD-6m_S7	5AD-6m_S6	8AD-6m_S8	9AD-6m_S9	10AD-6m_S10	2WT-12m_S1	5WT-12m_S2	6WT-12m_S4	8WT-12m_S3	9WT-12m_S5	10WT-12m_S6	2AD-12m_S7	5AD-12m_S8	6AD-12m_S9	8AD-12m_S10	9AD-12m_S11	10AD-12m_S12
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila	0	27884	2822	0	0	0	76	512772	360726	160650	0	0	0	0	316	740	0	0	0	210224	0	0	0	0	0	19152	0	99828	0	0	1224934	0	0	22502	0	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmatales_unclassified;g__GGB31312;s__GGB31312_SGB44628	8640	278906	1437438	35336	8746	38442	77824	515400	104396	3678	5214	378060	26522	158962	629326	7936	68880	143308	85170	235598	9796	6852	62418	201766	14380	175840	174672	31254	71812	61324	25880	5218	68200	552252	143440	9518
k__Bacteria;p__Proteobacteria;c__CFGB9469;o__OFGB9469;f__FGB9469;g__GGB28310;s__GGB28310_SGB40880	58860	486524	538328	699752	186628	177350	118686	232842	24882	603392	1566056	412944	237982	146068	177776	318812	476154	73430	236890	105466	1616	23774	27584	70824	90714	129654	116148	75446	477942	264004	123818	1514	337204	398284	523964	14772
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Turicimonas;s__Turicimonas_muris	11610	231312	0	10978	0	1828	9366	693830	87584	109544	57604	13252	9048	11606	0	0	3016	6606	141576	169772	0	45604	112474	13416	16302	5452	27058	8082	16464	25522	257084	2222	545080	65166	141382	305688
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterella_sp_NM82_D38	295684	299756	104928	183532	40970	402890	512612	269134	196850	82676	143486	155932	68336	106336	15412	15462	64372	163334	186168	6984	471774	273642	154466	208896	204574	100852	108018	97646	147908	312990	57980	271474	41410	78836	59594	195708
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterella_excrementihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688	0	0
k__Bacteria;p__Firmicutes;c__Firmicutes_unclassified;o__Firmicutes_unclassified;f__Firmicutes_unclassified;g__Firmicutes_unclassified;s__Firmicutes_bacterium_ASF500	0	134	10006	868	4346	130	6496	1578	44	6764	27124	25486	5328	12350	5238	2506	33584	1766	13860	4422	514	1474	850	3494	2544	2868	15710	1188	39084	2076	6554	21980	12332	30618	8754	1916
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__Turicibacter_sp_TS3	117408	1367466	18460	1016848	21396	364824	3272840	2583520	841606	605738	854042	881096	3004	587270	62368	21928	486948	1794046	1180478	1282936	0	4005148	73060	1048874	4738530	328566	640228	1606318	1201466	2610136	287656	58020	901112	1032602	771924	1754190
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__GGB31184;s__GGB31184_SGB44478	196378	41190	17312	24382	38398	11946	553954	245646	104798	41908	37072	214080	8732	4776	1122	1378	8288	18144	28818	18126	328604	121534	103150	25990	5010	60030	41846	63246	19388	72076	104210	278622	125858	46094	36446	86664
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__GGB29468;s__GGB29468_SGB42247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4430884	0	0	0	0	0	5225844	0	0	0	0	0
